Abatement cost	nhiễm)
Haberler, Gottfried	(1900-)
Habit-creating demand function	Hàm cầu do thói quen.
Halesbury Committee	Uỷ ban Halesbury.
Hammered	Bị gõ búa.
Hedgers	Những người tự bảo hiểm.
Hard-core unemployed	việc làm.
Hard currency	Tiền mạnh.
Harmony of interests	Hài hoà quyền lợi.
Harrod, Sir Roy, F.	(1900-1978).
Harrod-Domar growth model	Domar.
Havana Charter	Điều lệ Havana.
Hayek, Friedrich A.Von	(1899-1992).
international trade	thương mại quốc tế.
Hedging	Lập hàng rào.
Hedonic price	Giá ẩn.
Hedonism	Chủ nghĩa khoái lạc.
Herfindahl index	Chỉ số Herfindahl.
Heterogeneity	Tính không đồng nhất.
Heterogeneous capital	Vốn không đồng nhất.
Heterogeneous product	Sản phẩm không đồng nhất.
Heteroscedasticity	Hiệp phương sai không đồng nhất.
Hicks. Sir John R.	(1904-1989).
Hicks-Hansen diagram	Biểu đồ Hicks-Hansen.
Hicks Neutral Technical Progress	Tiến bộ kỹ thuật trung tính Hicks.
Hidden unemployment	Thất nghiệp ẩn.
High-powered money	Tiền mạnh.
Hiring rate	Tỷ lệ thuê.
Hiring standards	Các tiêu chuẩn thuê người.
Histogram	Biểu đồ tần xuất.
Historical costs	Chi phí lịch sử.
Historical model	Các mô hình lịch sử.
Historical school	Trường phái lịch sử.
Historicism	Chủ nghĩa lịch sử.
Hoarding	Đầu cơ tích trữ.
Hoarding company	Công ty nắm giữ.
Homogeneity	Tính thuần nhất, tính đồng nhất.
Homogeneous functions	Các hàm đồng nhất.
Homogeneous product	Sản phẩm đồng nhất.
Homogeneous product functión	Các hàm sản xuất đồng nhất.
Homoscedasticity	Hiệp phương sai đồng nhất.
Horizontal equity	Công bằng theo phương ngang.
Horizontal intergration	Liên kết theo phương ngang.
merger	kết khối.
Hot money	Tiền nóng.
Hotelling's Rule	Quy tắc Hotelling.
Housing benefit	Lợi nhuận nhà ở.
Human capital	Vốn nhân lực.
Hume, David	(1711-1776)
Hunt Commission	Uỷ ban Hunt.
Hunt Report	Báo cáo Hunt.
Hiperbola	Hypecbôn
Hyperinflation	Siêu lạm phát.
Hypothesis testing	Kiểm định giả thuyết.
Hysteresis	Hiện tượng trễ.
Human wealth	Của cải của con người.
ICOR	lượng.
IBBD	Ngân hàng Tái thiết và Phát triển.
ICFC	Thương mại.
IDA	Hiệp hội Phát triển quốc tế.
Identification problem	Bài toán nhận dạng.
Identity	Đồng nhất thức.
Identity matrix	Ma trận đơn vị.
National Income Identities	dân.
Idiosyncratic exchange	chất.
Idle balances	Tiền nhàn rỗi.
Illiquidity	Không tính chuyển hoán.
Ilo	Văn phòng Lao động Quốc tế.
Imaginary number	Số ảo.
IMF	Quỹ tiền tệ quốc tế.
Imitative growth	Tăng trưởng mô phỏng.
Immiserizing growth	Tăng trưởng làm khốn khổ.
Impact analysis	Phân tích tác động.
Impact multiplier	Số nhân tác động
Impact of taxation	Tác động của việc đánh thuế.
Imperfect competition	Cạnh tranh không hoàn hảo.
Imperfect market	Thị trường không hoàn hảo.
Imperialism	Chủ nghĩa đế quốc.
Implementation lag	Độ trễ thực hiện.
Implicit contracts	Các hợp đồng ẩn.
Implicit cost	Chi phí ẩn.
Implicit function	Hàm ẩn.
Implicit price deflator	Chỉ số giảm phát giá ẩn.
Implicit rental value	Giá trị tiền thuê ẩn.
Import	Hàng nhập khẩu.
Import duty	Thuế nhập khẩu.
Import quota	Hạn ngạch nhập khẩu.
Import restrictions	Các hạn chế nhập khẩu.
Import substitution	Thay thế nhập khẩu.
Import tariff	Thuế quan nhập khẩu.
Impossibility Theorem	về Điều không thể có.
Impure public good	tuý.
Imputed rent	Tiền thuê không quy đổi.
Inactive money	Tiền nhàn rỗi.
Incentive payment systems	khích.
Incidence of taxation	thuế, đối tượng chịu thuế.
Income	Thu nhập
Income, circular flow of	Luồng luân chuyển của thu nhập.
Income consumption curve	Đường tiêu dùng thu nhập.
Income determination	Xác định thu nhập.
Income differentials	Sự khác biệt về thu nhập.
Income effect	nhập.
Income distribution	Phân phối thu nhập.
Income elasticity of demand	Co giãn của cầu theo thu nhập.
Income - expenditure model	Mô hình thu nhập - chi tiêu
Income maintenance	Duy trì thu nhập.
Income effect of wages	Ảnh hưởng thu nhập của lương.
Income approach	(để tính GDP).
Income-sales ratio	Tỷ số thu nhập / doanh thu.
Incomes policy	Chính sách thu nhập.
Income and substitution effect	hưởng của thay thế.
Income support	Trợ giúp thu nhập.
Income tax	Thuế thu nhập
Income statement	Báo cáo thu nhập / Bản thu nhập.
Income terms of trade	Tỷ giá thương mại theo thu nhập
Income velocity of circulation	Tốc độ lưu thông của thu nhập.
Increasing returns to scale	Lợi tức tăng dần theo quy mô.
Incremental capital-output ratio	(ICOR).
Independent variable	Biến độc lập.
Indexation	Phương pháp chỉ số hoá.
taxation.	việc đánh thuế.
Index number	Số chỉ số.
Index number problem	Vấn đề chỉ số.
Indicative planning	Kế hoạch hoá chỉ dẫn.
Index of distortion	lệch.
Indifference	Bàng quan
Indifference curve	dụng.
Indifference map	đường đẳng dụng.
Indirect least squares (ILS)	Bình phương tối thiểu gián tiếp.
Indirect taxes	Thuế gián thu.
Indirect utility function	Hàm thoả dụng gián tiếp.
Indivisibilities	phân chia được.
Industrial action	Trừng phạt lao động.
Corporation	Thương mại.
Industrial bank	Ngân hàng công nghiệp.
Industrial complex analysis	Phân tích tổ hợp công nghiệp.
Industrial democracy	Dân chủ công nghiệp
Industrial dispute	Tranh chấp lao động
Industrial concentration	Sự tập trung công nghiệp.
Inductive reasoning	Lập luận quy nạp.
Industrial policy	Chính sách công nghiệp.
Industrial inertia	Tính ỳ công nghiệp.
Industrialization	đang phát triển).
Industrial organization	Tổ chức công nghiệp
Industrial relation	Các quan hệ lao động.
Corporation	Công ty cải tổ công nghiệp.
Industrial unions	Nghiệp đoàn theo ngành.
Industrial wage differentials	ngành.
Industrial wage structure	Cơ cấu tiền công theo ngành.
Industry	Ngành công nghiệp.
Industry-wide bargaining	Thương lượng trong toàn ngành.
Inelastic	Không co giãn.
Inequality	Bất đẳng thức.
Infant industry	Ngành công nghiệp non trẻ.
protection	nghiệp non trẻ.
Infant industry tariff argument	hộ ngành công nghiệp non trẻ.
Inference	Suy luận
Inferior good	cấp
Infinite memory	Bộ nhớ vô hạn.
Inflation	Lạm phát.
Inflation, suppressed	Lạm phát bị nén.
Inflation accounting	Hạch toán lạm phát.
Inflationary gap	chênh lệch lạm phát.
Infinitely elastic	Co giãn hoàn toàn.
Inflationary spiral	Vòng xoáy ốc của lạm phát.
Inflation subsidy	Trợ cấp lạm phát.
Inflation tax	Thuế lạm phát.
Informal sector	Khu vực không chính thức.
Information	Thông tin
Information matrix	Ma trận Thông tin.
Inflation rate	Tỷ lệ lạm phát.
Inflation-adjusted budget	lạm phát.
Informative economy analysis	Phân tích thông tin kinh tế.
Infra-marginal externality	Ngoại ứng biên.
Infrastructure	Hạ tầng cơ sở.
Inheritance tax	Thuế thừa kế.
Initial claims series	Nhóm người yêu cầu đầu tiên.
Injections	Sự bơm tiền.
In-kind redistribution	Phân phối lại bằng hiện vật.
Inland bill	Hối phiếu nội địa.
Innovations	Phát kiến; sáng kiến
Input	Đầu vào.
Input orientation	Định hướng theo đầu vào.
Innocent entry barrier	việc nhập ngành.
Input - output	đối liên ngành.
Inside lag	Độ trễ bên trong.
Inside money	Tiền bên trong.
Insider - outsider	cuộc.
Insider - outsider model	ngoài cuộc.
Insolvency	Tình trạng không trả được nợ.
Instalment credit	Tín dụng trả dần.
Institutional economics	Kinh tế học thể chế.
Institutional training	Đào tạo thể chế.
Instrumental variables	Các biến công cụ (IV).
Instruments	Các công cụ.
Insurance	Bảo hiểm
Insurance premium	Tiền đóng bảo hiểm.
Intangible assets	Tài sản vô hình.
Intangible capital	Vốn vô hình.
Integer	Số nguyên
Integerated economy	Nền kinh tế liên kết.
Integerated time series	Chuỗi thời gian được lấy tích phân.
Integration	Tích phân hoá.
Intended inventory investment	Đầu tư vào hàng tồn kho có chủ ý
Intensive margin	Giới hạn thâm canh.
Inter-Bank Market	Thị trường Liên ngân hàng.
Intercept	Hệ số chặn.
Interdependent utility	Độ thoả dụng phụ thuộc lẫn nhau.
Fund)	liên vùng.
Interest	Tiền lãi, lãi suất.
Interest equalization tax	Thuếu san bằng lãi suất.
Interest sensitivity	Độ nhạy theo lãi suất.
Intergenerational equity	Công bằng giữa các thế hệ.
Intergovernmental grants	Các trợ cấp liên chính quyền.
Interlocking directorates	giám đốc kết hợp.
Intermediate areas	Các vùng trung gian.
Intermediate goods	Hàng hoá trung gian.
Intermediate lag	Độ trễ trung gian.
Intermediate technology	Công nghệ trung gian.
Development Group	gian.
Intermediate variables	Biến trung gian
currencies	của tiền yếu.
Internal drain	Sự xả tiền trong nước.
Internal growth	Tăng trưởng nhờ nội ứng.
Internalization	Nội hoá.
"internal" labuor market	Thị trường lao động nội vi.
Internal finance	Tài chính bên trong.
Internal rate of return	Nội suất sinh lợi
Internal wage differentials	tại.
Internal balance	Cân bằng bên trong
External balance	Cân bằng bên ngoài.
Reconstruction and Development	Quốc tế.
International cartel	Cartel quốc tế.
International clearing unions	Các liên minh thanh toán quốc tế.
agreements	Các hiệp định hàng hoá quốc tế.
Association	Hiệp hội phát triển quốc tế
operation Agency (ID)	tế .
International division of labour	Sự phân chia lao động quốc tế.
International economics	Kinh tế học quốc tế
International Finance Corporation	Công ty Tài chính Quốc tế.
International debt crisis	Khủng hoảng nợ quốc tế.
International Labuor Office	Văn phòng Lao động quốc tế.
International liquidity	Thanh khoản quốc tế.
International monetarism	Chủ nghĩa trọng tiền quốc tế.
International monetary Fund	(IMF) - Quỹ tiền tệ quốc tế.
International payments system	Hệ thống thanh toán quốc tế.
Classification	Quốc tế.
International trade	Thương mại quốc tế.
International Trade Organization	tế .
International Wheat Council	Hội đồng lúa mỳ Quốc tế.
Interquartile range	vị.
Interstate Commerce Act	bang.
Intersection	Giao
Interval estimation	Ước lượng khoảng.
"In the bank"	"tại Ngân hàng".
Inventories	Hang tồn kho, dữ trữ.
Inventory cycle	Chu kỳ hàng tồn kho.
Inventory investment	Đầu tư tồn kho
Inverse function rule	Quy tắc hàm ngược.
Investment	Đầu tư.
Investment criteria	Các tiêu chuẩn đầu tư.
Investment grants	Trợ cấp đầu tư.
Investment trust	Tờ-rớt đầu tư.
Investors in Industry	nghiệp.
Invisible hand, the	Bàn tay vô hình.
Invisibles	Khoản vô hình
Involuntary unemployment	Thất nghiệp không tự nguyện.
Iron law of wages	Quy luật sắt về tiền công.
Irredeemable loan stock	Lượng cho vay không trả được.
Irredeemable preference shares	được.
Irreversibility	đảo ngược được.
IS curve	Đường IS
ISIC	theo tiêu chuẩn Quốc tế.
Islamic Development Bank	Ngân hàng phát triển Hồi giáo.
IS- LM diagram	Lược đồ IS - LM.
Iso-cost curve	Đường đẳng phí.
Iso-outlay line	Đường đẳng chi.
Iso-product curve	Đường đẳng sản phẩm.
Iso-profit curve	Các đường đẳng nhuận.
Isoquant	Đẳng lượng.
Iso-revenue line (curve)	Đường đẳng thu.
Issued capital	Vốn phát hành.
Issue department	Cục phát hành.
Issuing broker	Người môi giới phát hành.
Issuing house	Nhà phát hành.
Issuing House Association	Hiệp hội các Nhà phát hành.
ITO	Tổ chức thương mại Quốc tế.
Inverse relation	Tương quan nghịch biến.
Invention and innovation	Phát minh và phát kiến.
Intra-industrial trade	Thương mại trong ngành.
Invention and official financing	Can thiệp và tài trợ chính thức.
Investment demand schedule	Biểu đồ nhu cầu đầu tư.
IOU money	Tiền dựa theo nợ.
IS and LM schedule	Biểu đồ IS và LM.
J curve	Đường chữ J
"jelly" capital	Vốn "mềm dẻo".
Jevon, W.Stanley	(1835-1882)
Jobber	Người buôn bán chứng khoán.
Job cluster	Nhóm nghề.
Job competition theory	Thuyết về cạnh tranh việc làm.
Job creation	Tạo việc làm.
Job acceptance schedule	việc.
Job dublication	Việc làm kép.
Job evaluation	Đánh giá việc làm.
Job search	Tìm kiếm việc làm.
Job search channels	Các kênh tìm việc.
Job shopping	Chọn việc làm.
Johnson, Harry Gordon	(1923-77)
Joint probability distributions	Các phân phối xác suất kết hợp.
Joint products	Các sản phẩm liên kết.
Joint profit maximination	Tối đa hoá lợi nhuận chung.
Joint stock company	Công ty cổ phần.
Joint venture	Liên doanh.
Countries	Liên doanh ở các nước Đông Âu.
J - test	Kiểm định J.
Juglar cycle	Chu kỳ Juglar.
Justice as fairness	Chân lý như là công bằng.
Just price	Giá công bằng.
Junk bonds	Trái phiếu lãi suất cao.
Kahn, Richard F.	(1905-1989)
Kaldor, Nicholas	(1908-1986)
Kaldor - Hicks test	Kiểm định Kaldor - Hicks.
Kalecki, Micheal	(1899-1970)
Kalman filtering	Phép lọc Kalman.
Kantorovich, Leonid	(1912-1986)
Kenedy Round	Vòng đàm phán Kenedy.
Key bargain	Thương lượng chủ chốt.
Keynes, John Maynard	(1883-1946)
Keynes effect	Hiệu ứng Keynes.
Keynesian cross	Điểm cắt Keynes
Keynesian economics	Kinh tế học trường phái Keynes
Keynesian Growth Theory	phái Keynes.
Keynes Plan	Kế hoạch Keynes.
Key rates	Các mức lương then chốt.
Kinked demand curve	Đường cầu gấp khúc.
Klein Goldberger model	Mô hình Klein Goldberger.
Klein, Lawrence R.	(1920-)
Knife edge	Điểm tựa mỏng manh.
Knight, Frank	(1895-1973)
Kondratieff, Nicolai D.	(1892-..?)
Koopmans, Tjalling	(1910-1985)
Koych transformation	Phép biến đổi Koyck
Kuznets, Simon	(1901-1985)
Labour	Lao động.
progress	động.
Labour economics	Kinh tế học lao động.
Labour force	Lực lượng lao động.
Labour force participation rate	Tỷ lệ tham gia Lực lượng lao động.
Labour hoarding	Tích trữ lao động.
Labour force schedule	Biểu đồ về lực lượng lao động
Labour intensive	dụng nhiều lao động.
Labour market	Thị trường lao động.
Labour power	Sức lao động.
Labour - saving techniques	Các kỹ thuật tiết kiệm lao động.
Labour's share	Tỷ trọng của lao động.
Labour standard	Tiêu chuẩn lao động.
Labour supply	Cung lao động.
Labour surplus economy	Nền kinh tế thừa lao động.
Labour theory of value	Lý thuyết lao động về giá trị.
Labour turnover	Mức độ thay lao động.
Laffer curve	Đường Laffer.
Lagged relationship	Quan hệ trễ.
Lagrangean technique	Phương pháp nhân tử Lagrange.
Laissez - faire	hành.
Laissez - faire economy	phủ ít can thiệp).
Land	Đất đai.
Land intensive	Sử dụng nhiều đất.
Land reform and tenure	Bảo hộ và cải cách ruộng đất.
Land tax	Thuế đất.
Lange, Oscar	(1904-1965)
Laspeyres price index	Chỉ số giá Laspeyres.
Latin American Economic System	Hệ thống kinh tế Mỹ Latinh.
Association (LAFTA)	latinh.
Lausanne School	Trường phái Lausanne.
Law of demand	Quy luật của cầu.
Law of diminishing returns	Quy luật lợi tức giảm dần.
Law of diminishing marginal utility	giảm dần.
Law of variable proprerties	Quy luật về các đặc tính biến đổi.
Law of one price	Quy luật một giá.
Layfield Report	Báo cáo Layfield.
Layoffs	Sa thải tạm thời
Leading links principle	Nguyên tắc đầu mối hàng đầu.
Leading sector	Ngành dẫn đầu.
Leakages	Những khoản rò rỉ.
Leap - frogging	Sự nhảy cóc.
Learning	Học hỏi
Lease	Thuê
Least cost method of production	thành thấp nhất.
Least squares	nhất.
Le Chatelier principle	Nguyên tắc Le Chatelier.
Lender of last resort	cùng.
Leontief, Wassily W.	(1906-)
Leontief inverse	Số nghịch đảo Leontief.
Leontief paradox	Nghịch lý Leontief.
Lerner, Abba P.	(19031983).
Lerner case	Tình huống Lerner.
Lerner index	Chỉ số Lerner
Leger tender	(luật định).
Less devoloped countries (LDCs)	Các nước chậm phát triển.
Letter of credit	Thư tín dụng.
Level of significance	Mức ý nghĩa.
Level field	sân chơi?
Leverage	vốn.
Lewis, Sir W.Arthur	(1919-1991).
Lewis - Fei - Ranis model	Mô hình Lewis - Fei - Ranis.
Leveraged buy out (LBO)	Tăng vay bằng cách thay cổ phần
Leveraged financing	Tài trợ đòn bẩy.
Lexicographic preferences	Thị hiếu thiên lệch.
Liabilities	Nợ.
Liberalism	Chủ nghĩa tự do.
LIBOR	Lãi suất liên ngân hàng London.
Licensed deposit takers	tiền gửi.
Life-cycle hypothesis	phẩm.
Life-cycle oriented expectation	đời người.
"Lifeboat"	"Thuyền cứu sinh".
Likehood function	Hàm hợp lý
Likehood ratio test (LD)	Kiểm định tỷ số hợp lý.
Limited company	Công ty trách nhiệm hữu hạn.
Limited dependent variables	Các biến số phụ thuộc hạn chế.
Limited information (LI)	Thông tin hạn chế.
Limited liability	Trách nhiẹm hữu hạn.
Limit pricing	Định giá giới hạn.
Lindahl model	Mô hình Lindahl.
Linder thesis	Thuyết Linder.
Linear combination	Tổ hợp tuyến tính.
Linear dependence	Phụ thuộc tuyến tính
Linear estimator	Ước lượng tuyến tính.
Linear expenditure systems	Các hệ thống chi tiêu tuyến tính.
Linear function	Hàm tuyến tính.
Linear nomogenous	Đồng nhất tuyến tính.
Linear probability model	Mô hình xác suất tuyến tính.
Linear programming	Quy hoạch tuyến tính.
Liquid asset	lỏng; tài sản dễ thanh tiêu .
Liquid assets ratio	Tỷ lệ tài sản dễ hoán chuyển.
Liquidation	Phát mại.
Liquility	Khả năng chuyển hoán.
Liquidity	Tính thanh toán, thanh tiêu.
Liquidity preference	Sự ưa thích tài sản dễ thanh tiêu
Liquidity ratio	Tỷ số về khả năng hoán chuyển
Liquidity trap	Bẫy tiền mặt; Bẫy thanh khoản.
Listed securities	Các chứng khoán yết giá.
Little - Mirrlees method	Phương pháp Little - Mirrlees.
LM curve	Đường LM.
Loan	Khoản cho vay.
Loanable funds	Các quỹ có thể cho vay.
Loan capital	Vốn vay.
Loan stock	Số vốn vay.
Loan facility	Chương trình cho vay.
Local authorities' market	phương.
Local finance	Tài chính địa phương.
Local labour market	Thị trường lao động địa phương.
Local mutiplier	Số nhân địa phương
Local public good	Hàng hoá công cộng địa phương.
Locational integration	Liên kết theo vị trí.
Locational interdependence	Sự phụ thuộc lẫn nhau về vị trí.
Location quotient	Thương số vị trí.
Location theory	Lý thuyết về vị trí.
Locking - in effect	Hiệu ứng kẹt
lockout	công nhân).
Logarithm	Lôgarít
Logistic function	Hàm Lôgistic
Logit analysis	Phép phân tích lôgit
Log-linear	Tuyến tính lôgarit
Logolling	gian lận.
Lombard Street	Phố Lombard.
Lomé Convention	Công ước Lomé.
Long-dated securities	Các chứng khoán dài hạn.
Long-haul economies	Tính kinh tế theo quãng đường.
Longitudinal data	Dữ liệu dọc.
Long rate	Lãi suất dài hạn.
Long run	Dài hạn.
Long run average cost (LAC)	Chi phí trung bình dài hạn.
Long run comsumption function	Hàm tiêu dùng dài hạn.
Long run marginal cost	Chi phí cận biên dài hạn.
Long term capital	Vốn dài hạn.
Lorenz curve	Đường Lorenz
Losch model	Mô hình Losch
Loss aversion	Sự không thích mất mát.
Loss function	Hàm thua lỗ.
Loss leader pricing	Bán hạ giá trước.
Long run competitive	Cân bằng cạnh tranh dài hạn.
Lon run total cost curve	Đường tổng chi phí dài hạn.
Long run Phillips curve	Đường Phillips dài hạn.
Short run Phillíp curve	Đường Phillips ngắn hạn.
Lump - sum tax	Thuế gộp / khoán.
Loss offsetting provisions	Các điều khoản bù lỗ.
Low - level equilibrium trap	Bẫy cân bằng mức thấp.
Low wage trade	Thương mại lương thấp.
Lucas critique	Luận điểm phê phán của Lucas
LUS	chệch.
Luxury	thượng lưu).
Luxury taxes	Thuế hàng xa xỉ.
M1 and M0	Mức cung tiền M1 và M0.
Macmillan Committee	Uỷ ban Macmillan.
"Macmillan" gap	Lỗ hổng Macmillan.
Mc Guire Act	Đạo luật Mc Guire.
Macroeconomics	Kinh tế học vĩ mô.
Majority rule	Quy tắc đa số.
Malleable capital	Vốn uyển chuyển
Malthus, Rev. Thomas Robert	(1766-1834).
Malthus's law of population	Quy luật dân số của Malthus.
Management	Ban quản lý.
Management buyout	Thu mua bằng nghiệp vụ quản lý.
Management board	Ban quản lý / Hội đồng quản trị.
Managed or dirty floating	thuần khiết.
Management science	Khoa học quản lý.
Manager controlled firm	Hãng do nhà quản lý kiểm soát.
Managerial capitalism	Chủ nghĩa tư bản thiên về quản lý.
Managerial discretion	Sự tuỳ tiện trong quản lý.
Managerial revolution	Cuộc cách mạng quản lý.
Managerial slack	Sự lỏng lẻo trong quản lý.
Managerial theories of the firm	quản lý.
Managerial utility function	Hàm thoả dụng trong quản lý.
Marginal cost	Chi phí cận biên.
Marginal cost of labor	Chi phí cận biên cho lao động.
Marginal cost pricing	Định giá theo chi phí cận biên.
Marginal firm	Xuất biên?
Marginal income tax rate	thu nhập.
Marginal principle	Nguyên lý cận biên.
Marginal product of labors	Sản phẩm cận biên của lao động.
(MPC)	Thiên hướng tiêu dùng cận biên.
Marginal propensity to import	Thiên hướng nhập khẩu cận biên.
Marginal rate of transformation	Tỷ lệ chuyển đổi cận biên.
Marginal revenue	Doanh thu cận biên.
Marginal revenue product of labor	động.
Managing director	Giám đốc điều hành.
Manoilescu argument	Lập luận Manoilescu.
Manpower policy	Chính sách về nhân lực.
Manual workers	Lao động chân tay.
Margin, at the	tại biên
Marginal	Cận biên, gia lượng.
Marginal analysis	Phân tích cận biên.
Marginal cost of funds schedule	Biểu đồ chi phí cận biên của vốn.
Marginal damage cost	Chi phí thiệt hại cận biên.
Marginal disutility	Độ phi thoả dụng cận biên.
Marginal efficiency of capital	Hiệu suất cận biên của vốn.
schedule	Biểu đồ hiệu suất biên của vốn.
Marginal efficiency of investment	Hiệu suất cận biên của đầu tư.
schedule	đầu tư.
quotient criterio	tư cận biên theo đầu người.
Marginal physical product	Sản phẩm vật chất cận biên.
Marginal product	Sản phẩm cận biên.
Marginal productivity doctrine	Học thuyết về năng suất cận biên.
Marginal propensity to tax	Thiên hướng đánh thuế cận biên.
Marginal propensity to withdraw	Thiên hướng rút tiền cận biên.
Marginal rate of tax	Thuế suất cận biên.
substitution	thế suất kỹ thuật cận biên.
Marginal revenue product	Sản phẩm doanh thu cận biên.
Marginal user cost	Chi phí sử dụng cận biên.
Marginal utility	Độ thoả dụng cận biên.
Marginal utility of income	nhập.
Marginal utility of money	Độ thoả dụng cận biên của tiền.
Marginal value product of capital	Sản phẩm giá trị biên của vốn.
Marginal value product of labor	động.
Margin requirement	Yêu cầu về mức chênh lệch.
Market	Thị trường.
Market classification	Phân loại thị trường.
Market clearing	Điểm thị trường bán sạch.
Market demand curve	Đường cầu của thị trường.
Market demand curve for labour	lao động.
Market economy	Nền kinh tế thị trường
Market failure	Sự trục trặc của thị trường.
Market forces	Các tác nhân thị trường.
Market imperfection	Sự không hoàn hảo của thị trường.
Market mechanism	Cơ chế thị trường.
Marketing	Marketing
Marketing boards.	Các ban Marketing.
Market maker	Hãng lập thị.
Market orientation	Định hướng theo thị trường.
Market oriented reform	trường.
Market power	đối với thị trường.
Market premium rate	Tỷ lệ chênh lệch giá.
Black market premium rate	trường chợ đen.
Market share	Thị phần
Market socialism	trường.
Markov process	Quá trình Markov.
Markowitz, Harry	(1927-)
Parallel market premium rate	trường song hành.
Market structure	Cơ cấu thị trường.
Mark-up	thêm vào chi phí khả biến.
Marshall, Alfred	(1842-1924)
Marshall Aid	Viện trợ Marshall.
Marshallian demand curve	Đường cầu Marshall
Marshall - Lerner condition	Điều kiện Marshall - Lerner.
Marshall plan	Kế hoạch Marshall
Marx, Karl	(1818-1883)
C.mácist economics	Kinh tế học Mac xít.
Materials balance principle	Nguyên lý cân bằng vật chất.
Material forces of production	Lực lượng sản xuất vật chất.
Mathematical expectation	Kỳ vọng toán học.
Matrix	Ma trận.
Maturity	Đến hạn, hết hạn.
Maximax	Tối đa hoá cực đại.
Maximin	Tối đa hoá cực tiểu.
Maximum	Giá trị cực đại.
Maximum likelihood	Hợp lý cực đại.
Meade, James Edward	(1907- )
Mean	Trung bình
Means tested benefits	Trợ cấp theo mức trung bình.
Mean-variance analysis	Phân tích trung bình - phương sai.
Measurement error	Sai số đo lường.
Median	Trung vị.
Median location principle	Nguyên lý định vị trung bình.
Median Vote Theorem	Định lý cử tri trung dung.
Mediation	Hoà giải.
Medium of exchange	Phương tiện trao đổi.
Median Voter	Cử tri trung dung.
(MTFS)	Chiến lược tài chính trung hạn.
Menger, Carl	(1840-1921)
Mercantilism	Chủ nghĩa trọng thương.
Merchant bank	Ngân hàng nhà buôn
Merger	Sát nhập.
Menu cost of inflation	Chi phí thực đơn của lạm phát.
Merit goods	Hàng khuyến dụng; Hàng có lợi.
Merit bad	Hàng không khuyến dụng.
Methodology	Phương pháp luận.
Metzler case	Tình huống Metzler.
M-form enterprise	Doanh nghiệp dạng M
Microeconomics	Kinh tế học vi mô.
Microfoundations	Các cơ sở vi mô.
Miller - Tydings Act of 1937	1937.
Minimax regret	tiếc tối đa.
Minimum	Giá trị tối thiểu.
Minimum efficient scale	Quy mô hiệu quả tối thiểu.
Minimum employment target	Mục tiêu tối thiểu về việc làm.
Minimum lending rate (MLR)	Lãi suất cho vay tối thiểu.
Minimum wage	Tiền lương tối thiểu.
Minimum wage legislation	Luật về mức lương tối thiểu.
Minority control	Quyền kiểm soát tối thiểu.
Mint	Nhà máy đúc tiền.
Mis-specification	Thông số sai lệch.
Mixed estimation	Phương pháp ước tính hỗn hợp.
Mixed good	Hàng hoá hỗn hợp.
Mixed market economy	Nền kinh tế thị trường hỗn hợp.
Mode	Mốt.
Model	Mô hình
Modern quantity theory of money	Thuyết định lượng tiền tệ hiện đại.
Modern sector	Khu vực hiện đại.
Mode of production	Phương thức sản xuất.
Modigliani, Franco	(1918-)
capital	Modigliani-Miller.
Modulus	Giá trị tuyệt đối.
Moments	Mô men
Monetarism	Chủ nghĩa trọng tiền.
Money multiplier	Số nhân tiền tệ.
Mixed economy	Nền kinh tế hỗn hợp.
Mix of fiscal and money policy	khoá và tiền tệ.
Money price	Giá của tiền.
Money stock	Dung lượng tiền.
Mobility of labor	Tính luân chuyển của lao động.
Monetarists	tiền.
Monetary accommodation	Sự điều tiết tiền tệ.
Monetary aggregate	Cung tiền (M1,M2,M3).
Monetary base	Cơ số tiền tệ.
Monetary overhang	Sự sử dụng quá nhiều tiền mặt.
Monetary standard	Bản vị tiền tệ.
Monetary Union	Liên minh tiền tệ.
Money supply	Cung tiền.
Money terms	(Biểu thị giá trị) bằng tiền.
Monoculture	Độc canh
in1965.	nhập năm 1965.
Commission	Uỷ ban về độc quyền và Sát nhập.
Practices (Inquiry and	soát) 1948.
Monopolistic Competition	Cạnh tranh độc quyền.
Monopoly	Độc quyền.
Monopoly power	Quyền lực độc quyền.
Monetized economy	Nền kinh tế tiền tệ hoá.
Money illusion	Ảo tưởng về tiền.
Money market equilibrium	tệ .
Monopoly profit	Lợi nhuận độc quyền.
Monopsony	Độc quyền mua.
Monte Carlo method	Phương pháp Monte Carlo.
Moonlighting	Sự làm thêm
Moral hazard	Mối nguy đạo đức; Sự lạm tín.
Mortgage	Thế chấp.
Most favoured nation clause	Điều khoản tối huệ quốc.
Moving average	Trung bình động.
Multicollitnearity	Tính đa cộng tuyến.
Multilateral aid	Viện trợ đa phương
Agency (MIGA)	phương.
Multilateral trade	Thương mại đa phương
Multinational corporation	Công ty đa quốc gia.
Multiplant economies	nhà máy.
Multiplant operations	Sự vận hành đa nhà máy.
Multiple correlation coefficient	Hệ số đa tương quan.
Multiple regression	Hồi quy bội số.
Multiplier	Số nhân.
Multiplier - accelerator interaction	gia tốc.
Multiplier - accelerator model	số nhân.
Multiproduct firm	Hãng sản xuất đa sản phẩm
Multiplier coefficient	Hệ số khuyếch đại.
Multisector growth model	Mô hình tăng trưởng đa ngành.
Multivariate analysis	Phân tích đa biến số.
Mundell - Fleming model	Mô hình Mundell - Fleming.
